class,sms
ham,"Dear Customer, Your Bank Alfalah Card Stmt.Summary.  Amt Due: 3,131.49 Min Pmt: 500.00 Due Date: 31/10/2024.  BAL: reply with CC Call/Whatsapp 021111225111"
ham,"Dear Customer, Your Bank Alfalah Card Stmt.Summary.  Amt Due: 4,478.73 Min Pmt: 500.00 Due Date: 03/03/2025.  BAL: reply with CC Call/Whatsapp 021111225111"
ham,"Dear Customer, Your Bank Alfalah Card Stmt.Summary.  Amt Due: 8,056.49 Min Pmt: 500.00 Due Date: 31/12/2024.  BAL: reply with CC Call/Whatsapp 021111225111"
ham,"Dear Customer, Your Bank Alfalah Card Stmt.Summary.  Amt Due: 9,290.24 Min Pmt: 500.00 Due Date: 31/08/2024.  BAL: reply with CC Call/Whatsapp 021111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card has been dispatched. Consignment # is 810228345785. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816800061994. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816805142104. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816805220437. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816805305079. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816807627845. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816810027529. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816810103506. For further details please call 111225111"
ham,"Dear Customer, Your Bank Alfalah Credit Card statement has been dispatched. Consignment # is 816810188339. For further details please call 111225111"
ham,"Dear Customer, Your Basic Bank AL Habib Debit Card ending with XXXX5185 has been blocked through online, for further details, please call  92-111-014-014."
ham,"Dear Customer, Your Basic Bank AL Habib Debit Card ending with XXXX5185 has been blocked through online, for further details, please call  92-111-014-014."
ham,"Dear Customer, Your Basic Bank AL Habib Debit Card ending with XXXX5185 has been Enable for ATM Transaction (Local) through online, for further details, please call  92-111-014-014."
ham,"Dear Customer, Your Basic Bank AL Habib Debit Card ending with XXXX5185 has been un-blocked through online, for further details, please call  92-111-014-014."
ham,"Dear Customer, Your Basic Bank AL Habib Debit Card ending with XXXX5185 has been un-blocked through online, for further details, please call  92-111-014-014."
ham,"Dear Customer, Your Cheque Book request for AC No. 025400780XXXXXXXX via AL Habib netbanking has been initiated. For details, please call 111014014"
ham,"Dear customer, your Complaint # C20164290 has been lodged and you will be updated within 7 working days. Helpline 111-014-014"
ham,"Dear customer, your Complaint # C21170265 has been lodged and you will be updated within 7 working days. Helpline 111-014-014"
ham,"Dear Customer, your Complaint # C24169604-27888 has been lodged and you will be updated within 7 working days. For assistance call 021-111-014-014. (09:49:16 AM)"
ham,"Dear Customer, Your Complaint Number is 220606300824 . Matter has been raised with the concerned Department. Inconvenience regretted. Helpline 111000787 Askari Bank Ltd"
ham,"Dear Customer, your deposit with us is now protected by the Deposit Protection Corporation (DPC) up to PKR 500,000 per depositor. For more details please visit DPC website www.dpc.org.pk or UBL website www.ubldigital.com  To block all unsolicited promotional messages, text REG to 3627 or text UNSUB to 8258"
ham,"Dear Customer, Your deposit with us is now protected by the Deposit Protection Corporation (DPC) upto PKR 500,000 per depositor. For details www.dpc.org.pk  www.bankalhabib.com/deposit-protection-mechanism-for-banking-companies"
ham,"Dear Customer, Your deposit with us is protected by the Deposit Protection Corporation (DPC) upto PKR 500,000 per depositor. For details www.dpc.org.pk  www.bankalhabib.com/deposit-protection-mechanism-for-banking-companies"
ham,"Dear Customer, Your deposit with us is protected by the Deposit Protection Corporation (DPC) upto PKR 500,000 per depositor. For details www.dpc.org.pk www.bankalhabib.com/deposit-protection-mechanism-for-banking-companies"
ham,"Dear Customer, Your deposit with us is protected by the Deposit Protection Corporation (DPC) upto PKR 500,000 per depositor. For details www.dpc.org.pk www.bankalhabib.com/deposit-protection-mechanism-for-banking-companies  To block promotions from BAHL8810 send UNSUB to 8006579 To block all promotions, send REG to 3627"
ham,"Dear customer, your login attempt on easypaisa is unsuccessful due to incorrect pin. Please try again."
ham,"Dear customer, your login attempt on easypaisa is unsuccessful due to incorrect pin. Please try again."
ham,"Dear Customer, your mobile banking financial transaction pin has been generated successfully. For further assistance, please call CDNS HelpLine 051-111-267-268."
ham,"Dear Customer, your new cheque book against 0254-0078-******-50-8 is ready and is being dispatched to your branch. Kindly collect it after three business days."
ham,"Dear Customer, Your order 779402646622 from Dawaai Pvt Ltd (Overnight) has reached TCS Karachi."
ham,"Dear Customer, Your order 779402646622 from Dawaai Pvt Ltd (Overnight) has reached TCS Lahore,"
ham,"Dear Customer, Your order 779402646622 from Dawaai Pvt Ltd (Overnight) is scheduled for delivery today. Please make arrangements to receive the parcel."
ham,"Dear Customer, Your order 779402656482 from Dawaai Pvt Ltd (Overnight) has reached TCS Karachi."
ham,"Dear Customer, Your order 779402656482 from Dawaai Pvt Ltd (Overnight) has reached TCS Lahore,"
ham,"Dear Customer, Your order 779402656482 from Dawaai Pvt Ltd (Overnight) is scheduled for delivery today. Please make arrangements to receive the parcel."
ham,"Dear Customer, Your order 779405185151 from Dawaai Pvt Ltd (Overnight) has reached TCS Karachi."
ham,"Dear Customer, Your order 779405185151 from Dawaai Pvt Ltd (Overnight) has reached TCS Lahore,"
ham,"Dear Customer, Your order 779405185151 from Dawaai Pvt Ltd (Overnight) will be delivered today. Please keep exact amount Rs2293 ready for collection"
ham,"Dear Customer, Your order from Dawaai Private Limited has been picked up by TCS under CN 779402646622."
ham,"Dear Customer, Your order from Dawaai Private Limited has been picked up by TCS under CN 779402656482."
ham,"Dear Customer, Your OTP for this device is G5Z7G3. For further assistance, please call CDNS HelpLine 051-111-728-464. 6K62IXyPYWf"
ham,"Dear Customer, Your OTP for this device is VZ5YJ3. For further assistance, please call CDNS HelpLine 051-111-728-464. 6K62IXyPYWf"
ham,"Dear Customer, Your OTP for this device is Z915VM. For further assistance, please call CDNS HelpLine 051-111-728-464. 6K62IXyPYWf"
ham,"Dear Customer, Your OTP is 093532, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 100489, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 135685, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, your OTP is 2955 for validation of contact number at Bank AL Habib Call Center. For assistance, please call (0092-21) 111-014-014."
ham,"Dear Customer, Your OTP is 331222, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 347950, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 398871, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 559896, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 661885, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 796903, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 888036, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 936071, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 996422, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, Your OTP is 998935, which is also sent to your registered email address. Please do not share your OTP with others for own financial security."
ham,"Dear Customer, your OTP passcode is 868483"
ham,"Dear Customer, your outstanding Postpaid bill is Rs. -34.17 which is due on 27-02-23. You can pay bill via JazzCash: bit.ly/jcbill or Jazz World: bit.ly/jwbill"
ham,"Dear Customer, Your PSID is 100328022948. Please contact our call center, if you have not requested to generate this pin. Call center number (021) 111-374-634"
ham,"Dear Customer, Your PSID is 100328022952. Please contact our call center, if you have not requested to generate this pin. Call center number (021) 111-374-634"
ham,"Dear Customer, Your PSID is 100328022953. Please contact our call center, if you have not requested to generate this pin. Call center number (021) 111-374-634"
ham,"Dear Customer, Your PSID is 100328064315. Please contact our call center, if you have not requested to generate this pin. Call center number (021) 111-374-634"
ham,"Dear Customer, Your PSID is 100328074024. Please contact our call center, if you have not requested to generate this pin. Call center number (021) 111-374-634"
ham,"Dear Customer, Your Raast ID has been created for your ease, to delete your Raast ID reply with 'OK'. T&C apply. Call 111000787"
ham,"Dear Customer, your recent login attempt failed. For further assistance, please call CDNS HelpLine 051-111-267-268."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for Tax Deduction Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for the Balance Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for the Balance Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for the Balance Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your request for the Balance Certificate of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your requested Account Maintenance Certificate of AC No 025400780XXXXXXXX has been generated and sent to your registered email address."
ham,"Dear Customer, Your requested Account Proprietorship Certificate of AC No. 025400780XXXXXXXX has been generated and sent to your registered email address."
ham,"Dear Customer, Your requested Beneficiary; ""PERFECT CHEMICALS"" has been successfully added in BAHL Digital Banking. If you have not initiated this request, please call 111014014 immediately."
ham,"Dear Customer, Your requested e-statement of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your requested e-statement of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your requested e-statement of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your requested e-statement of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your requested e-statement of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear Customer, Your requested e-statement of AC No. 025400780XXXXXXXX has been initiated and sent to your registered email address."
ham,"Dear customer, your safety is our top priority. Stay secure online with strong passwords, updated devices, and vigilance against cyber threats."
ham,"Dear customer, your shipment under CN 005440276 was delivered. Receiver : MUZAMIL Date: 07/30/2021 Leopards Courier UAN: 111-300-786https://bit.ly/3nE3ckS"
ham,"Dear customer, your shipment under CN 586581165 has been picked and will be delivered within 1-2 working days.  Leopards Courier UAN: 111-300-786"
ham,"Dear customer, your shipment under CN 587156886 was delivered. Receiver : BASHIR Date: 07/05/2021 Leopards Courier UAN: 111-300-786https://bit.ly/3nE3ckS"
ham,"Dear customer, your shipment under CN 587156917 was delivered. Receiver : SHEHZAD KHAN Date: 07/05/2021 Leopards Courier UAN: 111-300-786https://bit.ly/3nE3ckS"
ham,"Dear customer, your shipment under CN 587415579 has been picked and will be delivered within 1-2 working days.  Leopards Courier UAN: 111-300-786"
ham,"Dear customer, your shipment under CN 588994169 has been picked and will be delivered within 1-2 working days.  Leopards Courier UAN: 111-300-786"
ham,"Dear Customer, your shipment via CN LE005440276 has been booked. Amount Received: Rs. 140.00 Booking Date: 29/07/21 Leopards Courier UAN: 111-300-786"
ham,"Dear Customer, your shipment via CN LE587156886 has been booked. Amount Received: Rs. 280.00 Booking Date: 02/07/21 Leopards Courier UAN: 111-300-786"
ham,"Dear Customer, your shipment via CN LE587156917 has been booked. Amount Received: Rs. 280.00 Booking Date: 03/07/21 Leopards Courier UAN: 111-300-786"
ham,"Dear Customer, your shipment via CN LE587961097 has been booked. Amount Received: Rs. 280.00 Booking Date: 03/11/21 Leopards Courier UAN: 111-300-786"
ham,"Dear Customer, your shipment via CN LE590648706 has been booked. Amount Received: Rs. 380.00 Booking Date: 24/11/22 Leopards Courier UAN: 111-300-786 To block promotions from Leopards send UNSUB to 6663625 To block all promotions, send REG to 3627"
ham,"Dear Customer, your shipment via CN LE591193740 has been booked. Amount Received: Rs. 310.00 Booking Date: 17/02/23 Leopards Courier UAN: 111-300-786 To block promotions from Leopards send UNSUB to 6663625 To block all promotions, send REG to 3627"
ham,"Dear Customer, your SYED SspamS UL ARFEEN  has been updated to ['SYED SspamS UL ARFEEN', 'SYED SspamSUL ARFEEN']  as per your instructions."
ham,"Dear Customer, your SYED SspamS UL ARFEEN  has been updated to SYED SspamS UL ARFEEN  as per your instructions."
ham,"Dear Customer, your UBL Union Pay *-3954 has been charged on 09-SEP-23 at 06:51:23 PM for PKR 11,685.00 at IDEAS     . For info , call 111825888."
ham,"Dear Customer, your UBL Union Pay *-3954 has been charged on 15-SEP-23 at 04:24:37 PM for PKR 6,306.00 at CARREFOUR . For info , call 111825888."
ham,"Dear Customer, your UBL Union Pay *-3954 has been charged on 15-SEP-23 at 04:37:49 PM for PKR 2,833.00 at CARREFOUR . For info , call 111825888."
ham,"Dear Customer, your UBL Union Pay *-3954 has been charged on 29-SEP-23 at 06:09:27 PM for PKR 6,119.00 at CARREFOUR . For info , call 111825888."
ham,"Dear Customer,Due to major planned system upgrade,Raast services will not be available from 9am to 9pm on 3rd September 2023.We apologize for the inconvenience."
ham,"Dear Customer,You have paid PKR 1,524.99 for Order ID: 25020890370272655789 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 34053818889"
ham,"Dear Customer,You have paid PKR 1,606.49 for Order ID: 24041290370231466665 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 27472741983"
ham,"Dear Customer,You have paid PKR 1,695.49 for Order ID: 23093090340213030094 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 24002379342"
ham,"Dear Customer,You have paid PKR 1,695.49 for Order ID: 23101390380214784229 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 24233884229"
ham,"Dear Customer,You have paid PKR 100.00 for Order ID: BGFT_aMjwictUJ to Telenor Online Store against Transaction ID: 21410792128."
ham,"Dear Customer,You have paid PKR 157.99 for Order ID: 23091790620211524209 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 23736780195"
ham,"Dear Customer,You have paid PKR 16,109.00 for Order ID: 31815304 to Pakistan Railways against Transaction ID: 30115192854"
ham,"Dear Customer,You have paid PKR 2,631.99 for Order ID: 24041490750231916286 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 27505858882"
ham,"Dear Customer,You have paid PKR 2,791.99 for Order ID: 24041390130232997238 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 27488587911"
ham,"Dear Customer,You have paid PKR 247.99 for Order ID: 23101590860215280916 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 24259364120"
ham,"Dear Customer,You have paid PKR 3,200.00 for Order ID: 26249361 to Pakistan Railways against Transaction ID: 21509705252."
ham,"Dear Customer,You have paid PKR 310.00 for Order ID: HUX_qKLJW9ZNj to MyTelenor App - Store against Transaction ID: 24843292996"
ham,"Dear Customer,You have paid PKR 324.49 for Order ID: 23110890990216208116 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 24676820090"
ham,"Dear Customer,You have paid PKR 327.99 for Order ID: 24010590440223112316 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 25713632304"
ham,"Dear Customer,You have paid PKR 460.49 for Order ID: 23100790250213563008 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 24122182382"
ham,"Dear Customer,You have paid PKR 483.90 for Order ID: MYOB_VxBPtYl1z to Telenor Online Store against Transaction ID: 20266674988."
ham,"Dear Customer,You have paid PKR 500.00 for Order ID: MYOB_zu_bicm-w to Telenor Online Store against Transaction ID: 20762649901."
ham,"Dear Customer,You have paid PKR 500.00 for Order ID: PM_PR_sRJyczxD3 to Telenor Online Store against Transaction ID: 21258627746."
ham,"Dear Customer,You have paid PKR 541.99 for Order ID: 24121490770263360094 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 32729934754"
ham,"Dear Customer,You have paid PKR 714.99 for Order ID: 24111690380260838346 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 32127539303"
ham,"Dear Customer,You have paid PKR 856.99 for Order ID: 23111090940217154882 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 24720552438"
ham,"Dear Customer,You have paid PKR 924.99 for Order ID: 25011890380270354735 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 33541372363"
ham,"Dear Customer,You have paid PKR 940.99 for Order ID: 24120490350264279884 to Delivery Hero Pakistan Pvt Ltd against Transaction ID: 32497068591"
ham,"Dear Customer,your complaint has been logged at Telenor with complaint # 1-109120005621 ,We are looking into it & will inform you once its resolved. Thank you!."
ham,"Dear Customer,Your complaint No.220606300824has been closed. We value your feedback to improve our services. Thank you for your patronage.Regards,Askari Bank Ltd"
ham,"Dear Customer,your shipment CN:40607624663 has been delivered on 03-Feb-23 received by SABIR ALI .Pay your Traffic Challan bill at nearest TCS center"
ham,"Dear Customers, Askari Bank has enhanced Mobile App security features in latest release, where OTP Auto-read is mandatory on all financial transactions through mobile app for customers within Pakistan. Overseas customers are required to enable the location allowing you to input OTP manually as received on email."
ham,"Dear Jazil Arfin (2240444), The last admission test will be conducted on 23-July-2022. Kindly schedule your test today. Send SMS with text ""Reg"" on 3627 if you are not willing to receive marketing messages"
ham,"Dear Jazil Arfin (ARN: 2240444), You have been conditionally selected for admission in the BS(EE) program at the Lahore campus. Kindly download your offer letter from https://admissions.nu.edu.pk/Result/ and visit the campus latest by August 02, 2022, to complete the admission formalities. To block promotions from FAST-NU send REG to 4440752 To block all promotions, send REG to 3627"
ham,"Dear Jazil Arfin (RollNo: 22L-6792), The FAST-NUCES Lahore campus cordially welcomes you to the FAST family. The classes for the Fall-2022 semester will commence from Monday, 22 August. You are hereby invited along with your parents to the orientation session to be conducted on 18th and 19th August 2022. The detailed schedule has already been emailed to you. Kindly check your email. To block promotions from FAST-NU send REG to 4440752 To block all promotions, send REG to 3627"
ham,"Dear Jazil Arfin, Your fee Challan is now available with you. Kindly deposit the fee before 01-Jul-2022 in any branch of Faysal Bank Send SMS with text ""Reg"" on 3627 if you are not willing to receive marketing messages"
ham,"Dear Jazil Arfin, Your fee Challan is now available with you. Kindly deposit the fee before 01-Jul-2022 in any branch of Faysal Bank Send SMS with text ""Reg"" on 3627 if you are not willing to receive marketing messages"
ham,"Dear Jazil Arfin, Your registration has been completed succussfully. Send SMS with text ""Reg"" on 3627 if you are not willing to receive marketing messages"
ham,"Dear Jazil Arfin, Your registration has been completed succussfully. Send SMS with text ""Reg"" on 3627 if you are not willing to receive marketing messages"
ham,"Dear Jazil Arfin, Your registration has been completed succussfully. Send SMS with text ""Reg"" on 3627 if you are not willing to receive marketing messages"
ham,Dear Jazil Use the following link to reset. https://www.campus.pk/login/reset_password/95f23f2c-ff0d-41c2-8b5f-d63ae5466067
ham,"We have detected an attempt to add a payee from the UBL Digital app on a new device. For your safety, this device has been blocked. If you wish to unblock this device, call the contact center."
ham,Welcome at campus.pk Your account is active now
ham,"You have successfully deactivated Cricwick. To subscribe again, please click on https://cricwick.net"
ham,"You have successfully deactivated Gago. To subscribe again, please click on https://gago.games/"
ham,"You have successfully registered your SM-A105F to the UBL Digital App. If this was not you, call 111825888."
ham,You have successfully subscribed Cricwick @PKR 4.78/daily to be deducted from your mobile balance.To unsubscribe: https://bit.ly/3it1rF3
ham,You have successfully subscribed Gago @PKR 25/week to be deducted from your mobile balance.To unsubscribe: https://bit.ly/2V9dQGV
ham,"You have sucessfully logged on to CDNS App on 02-06-2023 at 06:05:10. For more Information, please call CDNS PhoneBanking on 051-111-267-268."
ham,"You paid PKR 10,222 to 1Bill on 01/08/24 from a/c *7758. Info: 111825888."
ham,"You paid PKR 2,000 to 1Bill on 16/05/24 from a/c *7758. Details:111825888."
ham,"You paid PKR PKR 14,000 to 1Bill on 10-OCT-23 from a/c 0002****7758. If you have any questions, please call on 111-825-888."
ham,"You recently requested to reset your Careem password, to reset it follow the link www.careem.com/reset/ci0stke2mnhisr78d983a02o47"
ham,Assalamualaikum! Kya haal hai?
ham,"Subha bakhair, din mubarak ho."
ham,"Good night, Allah hafiz!"
ham,Khair maqdam! Aapka intezar tha.
ham,Eid Mubarak! Duaon mein yaad rakhna.
ham,Jumma Mubarak! Allah se dua hai ke khush raho.
ham,"Salam, kaise ho bhai?"
ham,Good morning dost! Umeed hai aj ka din acha guzray.
ham,"Salam, ghar kab aa rahe ho?"
ham,"Raat mubarak ho, khwabon mein yaad rakhna."
ham,"Miliye dobara, dil se khushi hui."
ham,Ramadan Mubarak ho aapko aur aapke ghar walon ko.
ham,"Assalamualaikum, aj milne ka dil hai."
ham,"Salam, garmi zyada hai, khayal rakhna."
ham,Naya saal mubarak ho!
ham,"Shab bakhair, duaon mein yaad rakhna."
ham,"Achi subha ho aapki, Allah ka karam rahe."
ham,"Salam, aj ka din kaisa guzra?"
ham,Jumma ke din barakat ho tum par.
ham,"Salam, bohat din baad yaad aya tumhara."
ham,Eid ki mithas jese dosti tumhari!
ham,Khuda tumhein hamesha khush rakhay.
ham,"Salam bhai, aj kuch khaas plan hai?"
ham,Ghar walon ko mera salam kehna.
ham,"Salam, raat ko phone zaroor karna."
ham,Allah tumhara har din asaan kare.
ham,Subha subha tumhari yaad aayi.
ham,"Salam, naya mahina mubarak ho."
ham,"Apna khayal rakhna, duaon mein yaad rakhna."
ham,"Subha ho gayi, uth jao sleepy head!"
ham,"Salam, tumhari muskurahat yaad aayi."
ham,"Dil se dua hai, aj ka din acha guzray."
ham,"Salam, kal milne ka irada hai?"
ham,Subha ki hawa aur tumhari yaad – dono taza!
ham,"Salam, bhoolna mat dosti purani hai."
ham,Tumhari ek salam se din ban jata hai.
ham,"Salam, zindagi ho tumhari muskurahat se bhari."
ham,Aj din shuru tumse karna tha.
ham,Khuda kare aj ki subha tumhare liye khushiyan laye.
ham,"Salam, tumhari yaad ne raat bhar jagaya."
ham,Dil karta hai har roz tumhe salam bhejun.
ham,Subha bakhair meri jaan!
ham,"Tumhari duaon ki zarurat hai, salam."
ham,"Salam, tumse baat kiye hue bohat arsa hogaya."
ham,"Tumhara salam mil gaya, dil khush hogaya."
ham,Har subha tumhari yaad ke sath hoti hai.
ham,"Salam, aj mausam bhi acha hai aur mood bhi!"
ham,"Salamun Alaikum, dua hai ke sab theek ho."
ham,"Allah ke naam se aj ka din shuru kar rahe hain, salam."
ham,"Salam, ek muskurahat bhejo to din ban jaye"
ham,Allah har waqt humare sath hota hai.
ham,Duaon mein bohot taqat hoti hai.
ham,Har mushkil ke baad asani hai (Quran).
ham,Namaz har dukh ka ilaj hai.
ham,"Allah par bharosa rakho, sab theek hoga."
ham,Har subha shukr se shuru karo.
ham,Ramadan meherbaniyon ka mahina hai.
ham,Jumma Mubarak – duaon ka din hai.
ham,Har naimat par shukr ada karo.
ham,Allah kabhi kisi ka bura nahi chahta.
ham,Har gham ka ilaj sabr hai.
ham,"Insaan ghalti karta hai, Allah maaf karta hai."
ham,"Duniya faani hai, akhirat abadi."
ham,Har kaam Bismillah se shuru karo.
ham,"Jo Allah se darta hai, us se sab darta hai."
ham,"Zakat sirf farz nahi, reham bhi hai."
ham,Namaz rooh ki ghiza hai.
ham,Har waqt Allah ko yaad rakho.
ham,Dil ka sukoon sirf Allah ke zikr mein hai.
ham,Har mushkil mein sabr aur dua ka sahara lo.
ham,"Maafi mangna kamzori nahi, imaan hai."
ham,Qabar mein sirf amal sath jayeinge.
ham,Har saans Allah ki rehmat hai.
ham,Tumhara naseeb Allah ke haath mein hai.
ham,"Apna hisaab rozana lo, qayamat se pehle."
ham,Allah har dua sunta hai.
ham,Quran har sawal ka jawab hai.
ham,Allah ki rehmat se na umeed na ho.
ham,Har din ek nayi niyat ke sath guzaro.
ham,Zindagi ek imtihaan hai.
ham,"Duniya sirf ek safar hai, manzil akhirat."
ham,"Tum dua karo, Allah sab kuch dega."
ham,"Har neki choti ya badi, Allah ke nazdeek barabar."
ham,"Rozgar Allah deta hai, boss nahi."
ham,Mohabbat bhi Allah ki rehmat hai.
ham,Sadaqat se kabhi ghata nahi hota.
ham,Jhoot sab gunaahon ki jadd hai.
ham,Har waqt tauba ka darwaza khula hai.
ham,Apni zindagi ka hisaab Allah ko dena hai.
ham,Sirf Allah se umeed rakho.
ham,"Duniya walay sirf baat karte hain, Allah sunta hai."
ham,"Allah se maangna seekho, log nahi."
ham,Kafan mein jeb nahi hoti.
ham,"Har kisi se pyaar karo, nafrat nahi."
ham,"Apne liye nahi, sab ke liye dua karo."
ham,Allah ki rehmat har jagah hai.
ham,Har kaam Allah ki raza ke liye karo.
ham,"Apna dil saaf rakho, ibadat asaan ho jati hai."
ham,Halal rizq mein barkat hoti hai.
ham,Sabr aur shukr – momin ki pehchaan.
ham,"Dear SYED SspamS UL ARFIN, you have made a Cash Withdrawal of PKR 20,000.00 at BAHL ATM from A/C 0254-0078-******-50-8. For query, call +9221-111-014-014"
ham,"Dear SYED SspamS UL ARFIN, You have made a Cash Withdrawal of PKR 23,000.00 at BAHL ATM from A/C 0254-0078-******-50-8. For query, call  9221-111-014-014"
ham,"Dear SYED SspamS UL ARFIN, you have made a Cash Withdrawal of PKR 25,000.00 at BAHL ATM from A/C 0254-0078-******-50-8. For query, call +9221-111-014-014"
ham,"Dear SYED SspamS UL ARFIN, your BAHL A/C 0254-0078-******-50-8 has been debited with PKR 3.13 for ATM Receipt Fee on 19/04/2024. For query, call  9221-111-014-014"
ham,"Dear SYED SspamS UL ARFIN, your Bank Alfalah Credit Card payment for the amount 1,000.00 received on 18/01/2025 Bal: Reply with CC Call/Whatsapp 021111225111"
ham,"Dear SYED SspamS UL ARFIN, your Bank Alfalah Credit Card payment for the amount 13,174.00 received on 19/12/2024 Bal: Reply with CC Call/Whatsapp 021111225111"
ham,"Dear SYED SspamS UL ARFIN, your Debit Card ending with 5185 has been successfully activated. For details call (+92-21) 111014014"
ham,"Dear SYED SspamS UL ARFEEN, An amount of Rs. 750.00 has been successfully sent to MUspamMAD IMRAN in 923029421415 via Raast Payment from your Easypaisa account ***********9669 on 12-07-2023 at 22:38:32. Trx ID: 22559293816."
ham,Dear MR SYED SspamS UL ARFIN Your Bank Alfalah credit card (0476) transaction for USD 1.00/- at 15:41:15 on AliExpress.com  London GB is declined due to non-activation of International spend facility. For service activation please call  9221111225111 & for transaction decline inquiry please call  9242111225786.
ham,"Dear MR SYED SspamS UL ARFIN Your recent  Bank Alfalah credit card (0476) transaction for PKR 1,473.00/- at 22:14 on SAUDI BROAST  LAHORE PK was declined due to insufficient funds and your available limit is -2,046.24. For balance enquiry or credit limit increase please call  9221111225111."
